Date  ADD Remove  Replace ChangeDataType  Error Authentication  Behavior  Authorization
2013-01-09  0 6 1 0 0 0 1 0
2013-02-06  2 2 4 0 0 2 0 1
2013-03-06  0 3 0 0 0 0 0 3
2013-04-03  0 1 0 0 0 0 0 0
2013-07-10  3 9 9 0 1 0 1 2
2013-09-12  0 0 1 0 0 0 0 0
1013-10-02  2 17  0 5 1 1 5 1
2014-01-08  0 4 2 2 1 0 0 0
2014-04-09  4 0 4 1 0 0 2 0
2014-05-13  1 0 0 0 0 0 2 0
2014-07-02  11  5 13  13  3 0 5 0
